mprid,pending_date,listing_date,photo_count,type,bedrooms,year_built,sqft,price
1190822020,,2016-06-24,20,single_family,4,2013,2236,570000
1216881158,2016-06-07,2016-04-06,13,condo,3,1984,,345000
1339391919,2016-07-15,2016-07-04,23,single_family,3,1950,1888,998000
1372383651,2016-05-04,2016-03-21,13,single_family,4,1976,2181,699000
1380662101,2016-07-30,2016-06-18,13,single_family,3,1972,1208,655000
1407110832,,2016-04-23,23,single_family,3,1981,1560,749000
1458117941,2016-06-03,2016-03-25,36,single_family,3,1926,1808,1088000
1460081786,,2016-07-22,1,single_family,4,1977,1503,354900
1635577778,2016-07-27,2016-07-14,36,single_family,4,1984,2496,1198888
1714809024,2016-05-27,2016-05-21,30,condo,2,1990,1403,628500
1745445847,2016-06-03,2016-05-30,25,condo,1,2004,903,825000
1843114778,2016-07-27,2016-07-07,26,multi_family,4,1913,1914,849000
1908700910,2016-06-24,2016-06-16,27,single_family,4,1970,2072,995800
2097571738,2016-06-20,2016-06-01,30,single_family,3,2004,2145,499900
2273778627,2016-07-12,2016-03-02,10,land,,,,99000
2288950879,2016-05-21,2016-05-12,30,single_family,3,1942,1078,409800
2293273607,2016-06-24,2016-04-25,26,single_family,2,1940,1400,1199900
2333670010,2016-07-06,2016-06-03,1,single_family,1,1931,448,299999
2451355856,,2016-07-08,25,single_family,5,1964,2133,649000
2470145992,,2016-02-22,30,single_family,5,1940,4530,5500000
2526890740,2015-10-19,2015-10-07,28,condo,1,2003,1375,478000
2561462531,2016-07-11,2016-06-16,20,single_family,3,1963,1246,739000
2609717586,,2016-05-16,33,single_family,3,1994,2485,1599000
2678741265,2016-06-23,2016-06-01,21,condo,2,1981,1112,320000
2782761883,,2016-05-05,31,single_family,4,1998,2684,1050000
2918578909,2016-05-12,2016-05-02,5,single_family,3,1965,1064,399900
1049369156,,2016-07-28,11,single_family,4,2016,1727,1625000
1092339904,,2016-04-18,4,land,,,,399000
1095976194,2016-05-11,2016-02-26,7,single_family,3,1955,1108,498000
1122770406,2016-05-20,2016-05-17,30,single_family,4,1987,1832,589990
1161065274,2016-07-31,2016-07-21,30,single_family,4,1978,2720,770000
1181012762,,2016-07-21,14,condo,3,1976,1460,499000
1187642189,2016-05-06,2016-04-14,21,single_family,4,1989,2040,889689
1208688886,2016-07-17,2016-05-11,26,condo,2,1991,1026,495000
1449351457,2016-06-14,2016-06-02,19,single_family,3,1922,1528,399000
1487940139,,2016-06-15,19,condo,3,1992,1514,855000
1524852713,,2016-07-01,26,single_family,4,2012,2160,1125000
1652406973,2016-06-15,2016-05-26,28,condo,3,2004,2250,758888
1658777830,2016-07-29,2016-07-08,30,single_family,4,1990,3431,1150000
1753129785,2016-04-11,2016-04-04,8,single_family,7,1985,8402,2800000
1842733617,2016-03-29,2016-01-29,8,single_family,4,2015,1955,708477
1920104011,2016-03-24,2016-02-18,8,condo,2,2016,1193,1394000
2003491467,2016-07-13,2016-07-01,16,single_family,3,1963,1568,775000
2062337812,,2016-04-22,12,condo,3,2014,1226,1249000
2191156823,2016-05-09,2016-04-14,20,single_family,4,1981,1391,529000
2195421649,2016-07-01,2016-06-26,16,single_family,3,1996,1575,419500
2265722825,2016-07-18,2016-07-13,23,condo,2,1982,1215,444900
2316266693,2016-07-06,2016-06-10,31,single_family,3,1939,1565,975000
2327013928,2016-06-24,2016-06-08,30,single_family,4,1968,2145,1389500
2566868905,2016-02-25,2016-02-09,1,single_family,4,1978,1703,500000
2799574234,2016-07-27,2016-06-23,22,single_family,3,1958,1432,625000
2872300936,,2016-06-22,21,single_family,4,2007,2701,1138888
1058867539,2016-07-16,2016-06-23,21,single_family,3,1946,1056,499000
1081422422,2016-06-02,2016-05-10,14,single_family,2,1938,1400,790000
1252957677,,2016-07-27,16,single_family,2,1947,1362,225000
1466615034,2016-07-11,2016-06-09,29,condo,3,1979,1242,549950
1476933051,,2016-06-23,36,condo,2,2002,1659,1150000
1541190147,2016-06-26,2016-06-13,26,condo,2,1964,1049,419900
1595752959,2016-06-25,2016-06-17,16,single_family,3,1918,1440,899950
1619683594,2016-04-15,2016-03-17,16,single_family,2,1943,855,286000
1642085376,2016-05-22,2016-05-16,6,multi_family,4,1924,2914,875000
1674158054,,2016-06-23,13,single_family,4,2008,,529900
1754995375,2016-05-15,2016-04-29,36,single_family,4,1974,2235,799000
1778050613,,2016-07-18,28,condo,3,2004,1634,615800
1939796540,2016-07-23,2016-07-19,1,single_family,5,2016,2327,569950
1979273891,2016-07-20,2016-05-09,20,condo,1,2001,747,795000
1981979480,2016-07-28,2016-06-06,13,condo,2,1902,1500,1420000
1989137262,2016-06-02,2016-05-18,29,single_family,3,1960,1319,699000
1989347223,2016-06-23,2016-06-01,30,single_family,3,1953,,1595000
2064166933,,2016-05-10,30,single_family,4,1912,2200,1285000
2145477001,2016-06-13,2016-05-31,1,single_family,4,1963,,299000
2306075879,,2016-07-28,14,single_family,3,1951,990,465000
2328527185,,2016-05-26,30,mobile,2,,1560,169000
2445017895,2016-06-19,2016-06-10,26,single_family,3,1954,1040,795888
2512342870,2016-07-14,2016-06-30,30,single_family,3,1953,1130,509000
2646864363,,2016-07-26,1,single_family,3,1947,1761,299000
2658880290,,2016-04-08,29,single_family,5,2004,3743,1397999
2719983291,,2016-06-29,28,single_family,4,1978,1957,975000
2788215181,2016-08-01,2016-07-30,7,single_family,5,,2996,611884
2819183179,,2016-07-12,4,single_family,3,2016,1877,995000
2850818573,,2016-05-06,3,single_family,4,2000,2186,550000
2940446556,2016-07-20,2016-07-12,6,multi_family,,1944,1597,1100000
1028957508,2016-06-06,2016-05-25,30,single_family,3,1962,2477,799000
1057457300,,2016-05-05,14,condo,0,1905,713,636800
1078126755,2016-04-27,2016-04-20,26,condo,2,1982,1055,450000
1093226980,2016-05-03,2016-04-28,14,single_family,2,2016,1149,444800
1098263111,2016-07-13,2016-07-06,30,single_family,4,2003,3202,659900
1142974415,2016-06-01,2015-02-18,30,single_family,6,1986,7100,3498000
1184685826,2016-05-25,2016-04-21,1,single_family,4,2016,2518,567200
1268325612,2016-06-22,2016-06-10,30,single_family,3,2014,1712,799000
1292190889,,2016-06-24,5,single_family,2,1958,1377,750000
1339854884,,2016-07-24,13,single_family,5,2005,4310,689999
1379289098,2016-07-06,2016-05-24,6,single_family,4,2016,2415,575145
1500351778,2016-06-29,2016-06-22,30,single_family,4,2000,2532,1278000
1734313511,2016-07-25,2016-07-08,15,condo,1,1999,557,625000
1813018417,2016-06-03,2016-02-06,6,land,,1926,,720000
1857849346,2016-05-18,2016-05-04,26,single_family,2,1942,1575,739000
1895537348,,2016-06-07,21,multi_family,,1938,2559,549900
1911850846,2016-05-09,2016-04-28,24,single_family,4,1992,1890,679000
1955985094,2016-07-07,2016-06-22,30,single_family,5,1972,3802,1195000
2008043231,,2016-02-22,1,multi_family,,1906,2555,1125000
2219635370,,2016-05-13,29,single_family,3,1900,2583,999000
2351669461,2016-05-27,2016-05-20,28,single_family,3,2006,1830,599900
2393441770,2016-07-19,2016-06-24,11,single_family,3,1955,1016,599888
2469719742,,2016-06-01,26,single_family,3,1926,1164,625000
2538832658,2016-05-19,2016-05-06,18,single_family,2,1922,1073,659000
2677787969,,2016-07-27,13,multi_family,,,4484,2890000
2892270283,2016-02-11,2015-09-15,10,land,,,,697500
1087989910,2016-07-14,2016-05-10,27,single_family,3,1996,1212,565000
1134569189,2016-05-23,2016-05-16,8,multi_family,4,1954,1696,679000
1144667829,2016-06-08,2016-04-22,25,condo,1,2014,746,899000
1200745279,2016-07-24,2016-07-07,29,single_family,3,1964,1298,988000
1212750874,,2016-03-09,30,single_family,5,1986,5065,2195000
1376643341,2016-07-25,2016-07-11,20,single_family,3,1948,1018,310000
1409643693,,2016-07-22,19,single_family,4,1960,1946,950000
1421688786,,2016-04-14,31,condo,2,2000,1955,2150000
1468992165,,2016-05-24,22,condo,3,2012,1516,569000
1498079808,,2016-03-21,1,condo,4,2016,1687,759150
1574493640,2016-05-02,2016-04-22,14,condo,2,1977,1141,425000
1616385818,2016-07-23,2016-05-18,30,single_family,5,1979,2566,1198000
1656587363,,2016-07-21,2,single_family,4,1918,,385000
1657106699,,2016-05-26,0,condo,1,1906,444,649000
1761267945,,2016-06-29,16,condo,1,2008,605,899000
1797522602,2016-07-27,2016-07-06,8,single_family,4,2000,3971,735000
1843872355,2016-06-30,2016-04-07,30,single_family,4,1963,2468,1099000
1913536923,,2016-03-21,26,single_family,5,2016,4200,3890000
1922268526,2016-06-22,2016-05-18,26,single_family,4,1969,2247,1135000
1924059554,2016-06-22,2016-05-24,7,single_family,2,1910,1862,835000
1938572878,2015-12-17,2015-10-19,2,single_family,4,2015,2300,969995
1938608554,,2016-06-20,4,condo,3,2015,2026,869900
2109358079,,2016-07-15,11,condo,2,1980,1022,289000
2161270239,,2016-05-13,27,condo,2,2007,1372,1880000
2162702151,2016-05-31,2016-05-20,18,single_family,3,1977,1917,349900
2166135142,2016-06-03,2016-05-20,36,condo,2,1942,1118,699000
2189167206,,2016-06-13,30,single_family,5,1995,2693,1125000
2212397186,,2016-07-21,23,condo,1,2007,815,898000
2222113507,,2016-03-06,2,land,,,,330000
2281363148,2016-05-24,2016-05-20,30,single_family,4,1973,2436,1049000
2437775003,,2016-07-14,30,single_family,4,1939,2000,1600000
2449162576,,2016-06-21,24,single_family,4,1955,1244,669000
2458972505,,2016-06-04,0,condo,2,1975,1237,599000
2561621103,,2016-06-20,30,single_family,4,1954,2870,3495000
2578573560,2016-07-28,2016-06-20,21,single_family,3,1910,1742,480500
2605215560,2016-06-20,2016-06-09,14,condo,3,1983,1515,475000
2638493160,2016-07-25,2016-07-14,1,multi_family,4,1895,2041,758000
2739390498,,2016-06-17,16,condo,1,2016,,640000
2824095224,2016-06-24,2016-06-22,28,single_family,2,1940,854,617500
2857222260,,2016-06-10,1,multi_family,,1923,14091,11250000
2861430287,,2016-06-27,27,single_family,5,1990,2857,820000
2871762275,2016-07-24,2016-06-29,10,single_family,4,2016,2539,1192740
2899820903,2016-06-23,2016-06-20,12,single_family,4,1949,2173,2579000
2969541935,2016-05-05,2016-04-24,30,single_family,3,1991,1475,489000
2983066721,2016-07-03,2016-06-10,21,single_family,3,1954,1300,1088000
1066533837,,2016-08-01,13,single_family,4,1943,1717,499000
1115892377,,2016-06-17,6,condo,2,2016,1666,690835
1167962684,2016-07-20,2016-07-04,16,condo,3,1973,1380,649000
1198277167,,2016-07-25,22,single_family,3,1949,1089,389000
1268107582,2016-05-15,2016-05-04,14,condo,2,1982,1565,415000
1491743713,,2016-07-25,28,single_family,5,1969,2350,1188000
1498446111,,2016-07-25,16,single_family,2,1945,1651,898000
1517047960,,2016-07-13,30,single_family,4,2011,1748,579000
1599314011,2016-07-10,2016-07-10,13,single_family,4,2008,3176,529900
1684295585,2016-06-29,2016-06-24,16,single_family,4,1964,2519,1350000
1790370932,2016-07-27,2016-07-14,31,single_family,4,1969,1628,695000
1939932583,,2016-07-13,21,single_family,4,1991,5214,2550000
1989954850,2016-05-30,2016-05-09,30,single_family,4,1964,2125,860000
2012913820,2016-04-15,2016-04-08,1,single_family,4,1980,2218,599000
2100032544,,2015-09-11,10,single_family,5,1966,2100,938000
2147933740,,2016-05-12,21,single_family,5,1985,3665,1398788
2165870031,,2016-07-08,35,single_family,4,1963,2142,1099950
2203263821,,2016-07-22,26,single_family,3,1955,2668,550000
2280975112,,2016-07-27,15,single_family,3,1918,840,875000
2400660051,2016-07-26,2016-07-07,23,single_family,4,1961,1840,1099000
2403254847,2016-07-18,2016-06-28,30,single_family,2,1941,697,399000
2416440817,,2016-06-27,18,single_family,4,1951,2111,949900
2459947016,2016-05-18,2016-05-18,5,single_family,3,1954,1040,728000
2669410625,2016-06-29,2016-06-16,36,single_family,5,2003,3006,919000
2680753626,2016-06-14,2016-05-29,22,single_family,4,1988,2126,698000
2716383871,2016-07-10,2016-06-22,22,condo,3,2000,1707,649950
2988565634,2016-06-23,2016-06-16,32,single_family,5,1966,2540,1680000
1039590560,2016-05-20,2016-05-17,19,multi_family,,1961,4585,525000
1050139084,2016-07-19,2016-07-07,17,single_family,4,1959,1524,499900
1126213120,2016-07-29,2016-07-21,15,condo,2,1971,964,399000
1330092217,2016-05-18,2016-05-13,28,single_family,5,1997,3061,1075000
1339542388,2016-04-27,2016-04-04,17,single_family,4,2008,1596,629000
1505818806,2016-07-12,2016-07-07,16,single_family,4,1975,1978,1050000
1513530652,2016-06-26,2016-03-13,20,condo,3,2004,1652,849000
1528364365,2016-07-17,2016-06-29,30,single_family,2,1998,2665,585000
1583543454,2016-06-22,2016-06-14,36,condo,4,2014,2076,788000
1633361265,,2016-05-03,22,single_family,4,1950,2347,1099000
1679937790,2016-07-01,2016-06-03,22,condo,1,2014,916,899000
1697130446,2016-05-23,2016-05-12,10,single_family,4,1978,1404,349500
1735465729,,2016-06-17,30,single_family,5,1969,3350,1749000
1764607238,2016-07-25,2016-07-07,28,condo,2,1980,814,899000
1770170165,2016-04-29,2016-03-24,30,single_family,5,1995,3181,1999991
2126424994,,2016-07-01,26,condo,1,1997,773,415000
2148691806,,2016-06-16,36,condo,3,2009,1319,1495000
2169889342,,2016-03-07,1,single_family,2,1939,1355,299999
2180968699,2016-07-25,2016-07-13,29,single_family,4,1995,2059,989950
2215811469,2016-07-30,2016-07-14,30,single_family,3,1915,1272,599000
2315727758,2016-07-22,2016-06-24,20,single_family,3,1951,,490000
2380987669,,2016-07-21,29,single_family,5,2004,3638,939000
2416113648,,2016-07-20,30,single_family,4,1997,1810,399999
2468435030,2016-02-21,2016-01-09,25,single_family,5,2000,3125,435000
2500905436,,2016-07-16,36,single_family,4,1973,2380,950000
2657726300,,2016-07-07,36,single_family,3,1966,1430,1680000
2691378424,,2016-06-28,18,single_family,4,2002,2669,1029999
2711466938,2016-06-20,2016-04-08,15,condo,1,1972,744,599000
2836753598,,2016-06-17,10,condo,1,1995,866,509000
2881579790,2016-05-06,2016-04-22,30,single_family,3,1976,1862,825000
1005437287,,2016-07-11,14,condo,2,1969,903,109000
1073032507,,2016-06-17,3,mobile,2,,1344,129950
1079225809,2016-07-11,2016-05-13,20,condo,2,2001,1953,1499000
1087336332,2016-06-13,2016-05-27,21,single_family,2,1890,1038,359000
1194492825,,2016-07-31,10,single_family,3,1996,1168,489000
1304605550,2016-07-28,2016-04-15,29,condo,3,2000,1234,1599000
1325902046,2016-04-15,2015-07-08,31,single_family,6,1961,3660,4999999
1422580875,,2016-07-16,12,single_family,3,1956,1390,529000
1664086928,,2016-02-29,7,land,,,,399000
1720509827,2016-04-22,2016-03-30,1,multi_family,1,1924,1708,625000
1946173512,2015-05-26,2015-04-08,10,single_family,4,2004,2447,437777
2032753178,2016-05-20,2016-05-06,30,single_family,7,1923,,749000
2064147337,2016-07-06,2016-06-24,13,single_family,3,1961,1680,995000
2079521755,2016-07-09,2016-07-01,36,single_family,3,1946,1530,839000
2127803834,2016-07-04,2016-06-30,30,single_family,4,1959,2585,869000
2170076069,,2016-07-22,16,single_family,2,1929,1150,899000
2179185406,2016-06-16,2016-06-01,23,single_family,3,1947,1250,999000
2200541879,2016-05-25,2016-05-19,27,single_family,3,1993,1766,749888
2202572642,2016-07-24,2016-07-14,30,single_family,4,2012,2624,1149950
2210144783,2016-05-28,2016-05-19,15,single_family,3,1990,1761,390000
2306355906,,2016-05-11,30,single_family,3,1984,1890,938000
2412069388,2016-05-24,2016-03-04,19,condo,3,1963,,1129000
2460178774,,2016-03-23,30,single_family,7,1928,10153,8950000
2472804958,2016-07-04,2016-06-09,19,single_family,4,2007,2239,949000
2479595217,2016-07-09,2016-06-22,29,condo,3,1972,1472,549000
2687719114,2016-05-02,2016-03-01,1,multi_family,2,1905,1112,299999
2707754100,2016-03-27,2016-02-23,18,condo,3,1974,1101,475000
2750211381,,2016-02-10,15,single_family,3,1955,1119,549000
2773147269,2016-06-07,2016-05-16,28,single_family,4,1998,2237,799950
2774167084,2016-05-06,2016-04-25,29,single_family,2,1923,1124,549000
2861304305,2016-05-13,2016-05-01,35,single_family,3,1970,1330,815000
2871022034,,2016-05-19,19,single_family,3,1952,1443,965000
2938703525,2016-06-26,2015-03-02,8,land,,,,1250000
1016861546,2016-07-27,2016-07-21,25,condo,2,1984,1125,549000
1073373100,2016-06-13,2016-05-31,30,single_family,3,1984,1680,379000
1158863435,,2016-07-07,28,single_family,4,1972,2497,1049000
1192985403,2016-05-30,2016-05-24,10,condo,1,1972,722,145000
1230299984,2016-07-06,2016-06-10,20,single_family,4,1976,2617,895000
1235668542,2016-06-22,2016-06-05,30,single_family,5,1948,3890,1680000
1267978114,,2016-07-28,24,single_family,3,1989,1630,649000
1270747899,,2016-07-20,26,single_family,4,2013,2093,899000
1424063289,2016-07-11,2016-06-22,30,single_family,3,1938,1448,899000
1479763614,,2016-07-14,30,single_family,5,1988,2472,899888
1494336370,2016-07-28,2016-07-22,19,condo,1,1986,593,325000
1576756775,2016-05-03,2016-04-15,19,single_family,3,1937,1190,1100000
1583580720,,2016-06-08,29,condo,3,2014,1459,695000
1631441259,2016-07-19,2016-05-12,19,single_family,3,1989,1922,1059000
1635931545,2016-03-11,2016-03-01,8,condo,2,1981,977,209900
1828342301,2016-05-04,2016-03-31,22,condo,3,1970,1454,699000
1829305591,2016-06-20,2016-04-26,32,single_family,4,1988,3046,1149000
1846484120,2016-07-06,2016-05-07,12,condo,3,1980,1422,319000
1898028849,2016-04-14,2016-04-01,23,single_family,4,2000,2334,460000
1973982680,2016-05-09,2016-04-29,17,single_family,3,1946,1180,978000
1979915087,2016-07-08,2015-11-09,12,multi_family,12,1977,4678,1850000
1996091472,,2016-05-25,7,single_family,2,1895,2103,409000
2150891935,2016-08-01,2016-07-26,24,single_family,3,1995,1617,399950
2172262103,,2016-07-13,1,condo,3,1994,2337,799000
2248774922,,2016-07-15,28,multi_family,,,3567,2195000
2285064735,,2016-07-04,26,single_family,6,2015,5817,2900000
2298883552,2016-06-27,2016-05-20,12,single_family,6,1950,1503,489000
2310915041,,2016-07-08,27,single_family,5,1997,3087,1199000
2348025285,2016-05-12,2016-04-13,14,single_family,4,2011,2906,665000
2377712393,2016-07-09,2016-06-24,22,single_family,3,1947,1068,558000
2470656801,2016-05-05,2016-04-22,25,single_family,3,1959,1248,859800
2539360678,,2016-05-11,16,single_family,4,1932,1680,599000
2552624205,2016-07-01,2016-06-17,18,single_family,3,1925,1236,599000
2662476835,,2016-02-12,13,multi_family,6,2008,2600,795000
2699194306,2016-06-05,2016-05-24,15,single_family,3,1956,1119,539900
1008625924,,2016-07-04,16,single_family,3,2002,1925,679000
1043474442,2016-05-02,2016-04-22,29,single_family,3,1979,1612,659000
1111405059,,2016-06-10,20,single_family,4,1952,1995,1299000
1286878915,2016-05-11,2016-04-21,30,multi_family,7,1950,3099,900000
1300547355,2016-05-26,2016-05-19,19,condo,1,2006,950,510000
1429323260,2016-07-29,2016-06-24,21,single_family,4,1967,2160,925000
1446691940,2016-07-20,2016-06-09,30,single_family,4,1976,1842,679000
1457469896,2016-06-08,2016-05-16,16,mobile,2,1978,1824,170000
1471413137,2016-05-20,2016-04-27,10,multi_family,3,1944,1326,469000
1480251221,,2016-07-31,24,condo,3,1972,1193,510000
1669136570,2016-06-03,2016-05-24,12,single_family,3,1924,1535,775000
1702636695,2016-04-01,2016-02-26,15,single_family,3,1964,2728,795000
1711790483,2016-04-24,2016-04-07,23,condo,2,1985,1595,625000
1755820790,,2016-06-17,36,condo,2,1999,2300,1695000
1786169299,2016-06-21,2016-05-01,22,condo,2,1973,1288,1249000
1828312006,2016-06-22,2016-04-27,32,single_family,4,1989,3236,1495000
1876391002,2016-07-11,2016-07-07,8,single_family,3,1990,1510,369888
1882204489,2016-06-14,2016-06-04,30,single_family,3,1990,1558,345000
1929457582,2016-07-05,2016-06-03,27,single_family,2,1929,1375,950000
1932215384,2016-05-11,2016-05-04,21,single_family,3,1983,1167,345000
1980423848,,2016-04-27,30,single_family,4,2005,3795,1950000
1982203409,,2016-05-29,3,single_family,3,2016,1695,680227
2032438818,2016-06-22,2016-06-06,14,single_family,4,1979,1456,395000
2048714373,,2016-05-06,36,condo,3,2003,2308,1750000
2067453489,2016-05-16,2016-05-13,13,single_family,3,1989,1348,349950
2092624784,,2016-06-15,30,single_family,4,1964,1975,839000
2104253468,,2016-05-31,18,single_family,3,2014,2127,1750000
2111583944,2016-07-13,2015-07-27,3,land,,,,535000
2140308743,,2016-04-21,16,condo,2,1986,1230,649000
2171786756,2016-07-29,2016-07-26,11,single_family,3,1953,1171,475000
2250569221,2016-06-30,2016-04-13,17,single_family,3,1919,1110,349900
2300498308,2016-02-15,2016-02-06,2,single_family,3,1935,1274,365000
2364800707,2016-06-09,2016-05-27,30,condo,2,1972,970,499000
2410959575,,2016-06-10,24,single_family,3,1962,,595000
2456994264,2016-07-09,2016-06-03,36,single_family,3,1938,2080,995000
2592642416,2016-05-07,2016-04-26,15,single_family,2,1937,910,299000
2821873789,,2016-07-27,26,single_family,3,1974,1284,569000
2824845648,2016-07-29,2016-07-19,26,single_family,3,1974,2630,1797750
2907166971,2016-05-03,2016-04-22,17,single_family,3,1988,1407,335000
2948652525,,2016-07-25,30,single_family,4,1990,2167,819000
1053129470,2016-05-25,2016-04-22,30,single_family,3,1990,1570,470000
1095798330,,2016-05-02,8,land,,,,550000
1125618423,2016-07-01,2016-06-09,10,condo,0,1972,490,319000
